category,metric,hour,value
bed_assignment,median,20,5
bed_assignment,median,21,5
bed_assignment,median,22,4
bed_assignment,median,23,4
bed_assignment,p25,0,2
bed_assignment,p25,1,1
bed_assignment,p25,2,1
bed_assignment,p25,3,0
bed_assignment,p25,4,0
bed_assignment,p25,5,0
bed_assignment,p25,6,0
bed_assignment,p25,7,0
bed_assignment,p25,8,1
bed_assignment,p25,9,2
bed_assignment,p25,10,2
bed_assignment,p25,11,3
bed_assignment,p25,12,3
bed_assignment,p25,13,3
bed_assignment,p25,14,3
bed_assignment,p25,15,3
bed_assignment,p25,16,4
bed_assignment,p25,17,4
bed_assignment,p25,18,4
bed_assignment,p25,19,4
bed_assignment,p25,20,4
bed_assignment,p25,21,4
bed_assignment,p25,22,3
bed_assignment,p25,23,2
bed_assignment,p75,0,4
bed_assignment,p75,1,3
bed_assignment,p75,2,2
bed_assignment,p75,3,1
bed_assignment,p75,4,2
bed_assignment,p75,5,2
bed_assignment,p75,6,1
bed_assignment,p75,7,2
bed_assignment,p75,8,3
bed_assignment,p75,9,4
bed_assignment,p75,10,5
bed_assignment,p75,11,6
bed_assignment,p75,12,5.75
bed_assignment,p75,13,5
bed_assignment,p75,14,5
bed_assignment,p75,15,6
bed_assignment,p75,16,6
bed_assignment,p75,17,6
bed_assignment,p75,18,6
bed_assignment,p75,19,7
bed_assignment,p75,20,7
bed_assignment,p75,21,6
bed_assignment,p75,22,6
bed_assignment,p75,23,5
bed_assignment,p95,0,6
bed_assignment,p95,1,5
bed_assignment,p95,2,4
bed_assignment,p95,3,3
bed_assignment,p95,4,3
bed_assignment,p95,5,3
bed_assignment,p95,6,3
bed_assignment,p95,7,4
bed_assignment,p95,8,5.75
bed_assignment,p95,9,7
bed_assignment,p95,10,8
bed_assignment,p95,11,8
bed_assignment,p95,12,8
bed_assignment,p95,13,7
bed_assignment,p95,14,8
bed_assignment,p95,15,8
bed_assignment,p95,16,9
bed_assignment,p95,17,9
bed_assignment,p95,18,8
bed_assignment,p95,19,9.75
bed_assignment,p95,20,9
bed_assignment,p95,21,8
bed_assignment,p95,22,8
bed_assignment,p95,23,8
bed_assignment,stdev,0,1.794862
bed_assignment,stdev,1,1.53777
bed_assignment,stdev,2,1.280404
bed_assignment,stdev,3,1.038736
bed_assignment,stdev,4,1.098216
bed_assignment,stdev,5,1.048548
bed_assignment,stdev,6,1.038736
bed_assignment,stdev,7,1.224412
bed_assignment,stdev,8,1.620045
bed_assignment,stdev,9,2.016119
bed_assignment,stdev,10,2.169867
bed_assignment,stdev,11,2.230979
bed_assignment,stdev,12,2.028779
bed_assignment,stdev,13,1.915687
bed_assignment,stdev,14,1.908428
bed_assignment,stdev,15,2.029264
bed_assignment,stdev,16,2.025742
bed_assignment,stdev,17,2.088227
bed_assignment,stdev,18,2.062909
bed_assignment,stdev,19,2.343631
bed_assignment,stdev,20,2.095077
bed_assignment,stdev,21,1.979073
bed_assignment,stdev,22,1.966179
bed_assignment,stdev,23,2.080823
discharge,mean,0,3.874317
discharge,mean,1,3.650273
discharge,mean,2,2.844262
discharge,mean,3,2.368852
discharge,mean,4,1.967213
discharge,mean,5,1.612022
discharge,mean,6,1.349727
discharge,mean,7,1.019126
discharge,mean,8,1.079235
discharge,mean,9,1.612022
discharge,mean,10,2.352459
discharge,mean,11,2.696721
discharge,mean,12,3.174863
discharge,mean,13,3.103825
discharge,mean,14,3.568306
discharge,mean,15,3.756831
discharge,mean,16,3.751366
discharge,mean,17,3.819672
discharge,mean,18,4.273224
discharge,mean,19,4.513661
discharge,mean,20,4.513661
discharge,mean,21,4.704918
discharge,mean,22,4.103825
discharge,mean,23,4.352459
discharge,median,0,4
discharge,median,1,3
discharge,median,2,3
discharge,median,3,2
discharge,median,4,2
discharge,median,5,1
discharge,median,6,1
discharge,median,7,1
discharge,median,8,1
discharge,median,9,1
discharge,median,10,2
discharge,median,11,3
discharge,median,12,3
discharge,median,13,3
discharge,median,14,3
discharge,median,15,4
discharge,median,16,3
discharge,median,17,4
discharge,median,18,4
discharge,median,19,4
discharge,median,20,4
discharge,median,21,5
discharge,median,22,4
discharge,median,23,4
discharge,p25,0,2
discharge,p25,1,2
discharge,p25,2,2
discharge,p25,3,1
discharge,p25,4,1
discharge,p25,5,1
discharge,p25,6,0
discharge,p25,7,0
discharge,p25,8,0
discharge,p25,9,1
discharge,p25,10,1
discharge,p25,11,1.25
discharge,p25,12,2
discharge,p25,13,2
discharge,p25,14,2
discharge,p25,15,2
discharge,p25,16,2
